date,open,high,low,close,volume,next_day_close
22-05-2015,89.178574,89.407143,88.692856,88.83857,7466200,87.992859
26-05-2015,88.874283,89.061432,87.785713,87.992859,9646000,89.85714
27-05-2015,88.14286,89.907143,87.928574,89.85714,10506300,89.507141
28-05-2015,89.714287,89.855713,88.93,89.507141,7821800,89.151428
29-05-2015,89.472855,90.205711,88.955711,89.151428,12712000,89.002853
01-06-2015,88.837143,89.121429,87.944283,89.002853,9926000,89.129997
02-06-2015,88.711426,89.678574,88.405716,89.129997,7529200,88.808571
03-06-2015,89.242859,89.732857,88.644287,88.808571,6237700,89.348572
04-06-2015,88.378571,89.428574,88.042854,89.348572,10074400,90.459999
05-06-2015,89.214287,90.540001,89.125717,90.459999,11624200,89.604286
08-06-2015,90.714287,90.815712,88.995712,89.604286,11148900,92.449997
09-06-2015,89.33429,92.714287,89.33429,92.449997,22024800,95.871429
10-06-2015,93.395714,98.970001,93.225716,95.871429,57121400,95.094284
11-06-2015,96.889999,96.918571,94.087143,95.094284,26623100,94.418571
12-06-2015,94.91571,95.342857,94.124283,94.418571,10278800,93.431427
15-06-2015,92.85714,93.591431,91.658569,93.431427,19054000,95.272858
16-06-2015,94.242859,95.60714,93.691429,95.272858,16043300,94.271431
17-06-2015,95.132858,95.132858,93.957146,94.271431,9905000,94.742859
18-06-2015,94.651428,95.341431,94.368568,94.742859,8962800,93.871429
19-06-2015,96.242859,96.418571,93.821426,93.871429,19814900,96.414284
22-06-2015,95.042854,96.692856,94.188568,96.414284,16732800,97.312859
23-06-2015,96.335716,97.389999,95.75,97.312859,15626100,96.944283
24-06-2015,100.014282,100.891426,96.397141,96.944283,77138600,94.891426
25-06-2015,95.48143,96,93.458572,94.891426,41623400,93.08857
26-06-2015,95.300003,95.314285,93.08857,93.08857,30314900,92.23143
29-06-2015,91.505714,92.912857,91.117142,92.23143,24575600,93.848572
30-06-2015,93.35714,94.355713,92.785713,93.848572,16880500,93.635712
01-07-2015,94.805717,95.238571,93.218575,93.635712,14699300,94.044289
02-07-2015,93.998573,94.19857,93.214287,94.044289,11053000,94.571426
06-07-2015,93.472855,94.928574,93.339996,94.571426,11808300,94.091431
07-07-2015,95.012856,95.427139,92.622856,94.091431,21573300,93.507141
08-07-2015,93.471428,93.995712,92.284286,93.507141,12990600,95.727142
09-07-2015,94.900002,95.845711,94.285713,95.727142,16731400,97.228569
10-07-2015,97.522858,98.502853,96.900002,97.228569,21636300,101.087143
13-07-2015,98.098572,102.308571,98.078568,101.087143,33205200,100.371429
14-07-2015,101.271431,101.635712,99.652855,100.371429,19736500,98.129997
15-07-2015,99.970001,100.75,97.050003,98.129997,30898600,115.809998
